Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Rashaad Penny,3600,SEA@OAK 10/14/2018 01:00PM ET,3.34,SEA
WR,David Moore,3600,SEA@OAK 10/14/2018 01:00PM ET,4.94,SEA
RB,Jordan Wilkins,3600,IND@NYJ 10/14/2018 01:00PM ET,5.78,IND
WR,Jakeem Grant,3600,CHI@MIA 10/14/2018 01:00PM ET,10.14,MIA
DST,Jaguars,3600,JAX@DAL 10/14/2018 04:25PM ET,7.8,JAX
RB,Peyton Barber,3500,TB@ATL 10/14/2018 01:00PM ET,4.52,TB
TE,Austin Hooper,3500,TB@ATL 10/14/2018 01:00PM ET,9.84,ATL
TE,O.J. Howard,3500,TB@ATL 10/14/2018 01:00PM ET,9.8,TB
WR,Jarius Wright,3500,CAR@WAS 10/14/2018 01:00PM ET,7.42,CAR
RB,Doug Martin,3500,SEA@OAK 10/14/2018 01:00PM ET,2.52,OAK
WR,Martavis Bryant,3500,SEA@OAK 10/14/2018 01:00PM ET,7.9,OAK
WR,Jaron Brown,3500,SEA@OAK 10/14/2018 01:00PM ET,3.76,SEA
RB,Robert Turbin,3500,IND@NYJ 10/14/2018 01:00PM ET,0,IND
WR,Jermaine Kearse,3500,IND@NYJ 10/14/2018 01:00PM ET,3.52,NYJ
RB,T.J. Logan,3500,ARI@MIN 10/14/2018 01:00PM ET,0,ARI
WR,Laquon Treadwell,3500,ARI@MIN 10/14/2018 01:00PM ET,7.04,MIN
RB,Mark Walton,3500,PIT@CIN 10/14/2018 01:00PM ET,2.67,CIN
WR,Travis Benjamin,3500,LAC@CLE 10/14/2018 01:00PM ET,2.1,LAC
WR,Zay Jones,3500,BUF@HOU 10/14/2018 01:00PM ET,5.88,BUF
DST,Texans,3500,BUF@HOU 10/14/2018 01:00PM ET,6.8,HOU
WR,Anthony Miller,3500,CHI@MIA 10/14/2018 01:00PM ET,6.67,CHI
WR,Courtland Sutton,3500,LAR@DEN 10/14/2018 04:05PM ET,6.4,DEN
RB,Corey Grant,3500,JAX@DAL 10/14/2018 04:25PM ET,3.94,JAX
WR,D.J. Chark Jr.,3500,JAX@DAL 10/14/2018 04:25PM ET,2.34,JAX
RB,Jalen Richard,3400,SEA@OAK 10/14/2018 01:00PM ET,9.48,OAK
WR,Terrelle Pryor,3400,IND@NYJ 10/14/2018 01:00PM ET,6.56,NYJ
WR,Zach Pascal,3400,IND@NYJ 10/14/2018 01:00PM ET,4.78,IND
WR,John Ross,3400,PIT@CIN 10/14/2018 01:00PM ET,6.65,CIN
WR,James Washington,3400,PIT@CIN 10/14/2018 01:00PM ET,3.18,PIT
TE,Vance McDonald,3400,PIT@CIN 10/14/2018 01:00PM ET,10.4,PIT
WR,Kelvin Benjamin,3400,BUF@HOU 10/14/2018 01:00PM ET,4.86,BUF
RB,Benny Cunningham,3400,CHI@MIA 10/14/2018 01:00PM ET,0.48,CHI
WR,Torrey Smith,3300,CAR@WAS 10/14/2018 01:00PM ET,4.92,CAR
WR,Seth Roberts,3300,SEA@OAK 10/14/2018 01:00PM ET,6.68,OAK
RB,C.J. Ham,3300,ARI@MIN 10/14/2018 01:00PM ET,2.92,MIN
RB,Roc Thomas,3300,ARI@MIN 10/14/2018 01:00PM ET,1.4,MIN
WR,Aldrick Robinson,3300,ARI@MIN 10/14/2018 01:00PM ET,6.4,MIN
RB,Marcus Murphy,3300,BUF@HOU 10/14/2018 01:00PM ET,3.27,BUF
RB,Kalen Ballage,3300,CHI@MIA 10/14/2018 01:00PM ET,0.25,MIA
WR,DeVante Parker,3300,CHI@MIA 10/14/2018 01:00PM ET,6,MIA
DST,Bears,3300,CHI@MIA 10/14/2018 01:00PM ET,14.5,CHI
RB,Jacquizz Rodgers,3200,TB@ATL 10/14/2018 01:00PM ET,2.9,TB
WR,Adam Humphries,3200,TB@ATL 10/14/2018 01:00PM ET,5.88,TB
RB,Samaje Perine,3200,CAR@WAS 10/14/2018 01:00PM ET,0,WAS
WR,Michael Floyd,3200,CAR@WAS 10/14/2018 01:00PM ET,0,WAS
WR,Derrick Willies,3200,LAC@CLE 10/14/2018 01:00PM ET,1.82,CLE
WR,Tajae Sharpe,3200,BAL@TEN 10/14/2018 04:25PM ET,4.68,TEN
RB,Tommy Bohanon,3200,JAX@DAL 10/14/2018 04:25PM ET,0.3,JAX
RB,Brandon Wilds,3200,JAX@DAL 10/14/2018 04:25PM ET,0.5,JAX
WR,Cole Beasley,3200,JAX@DAL 10/14/2018 04:25PM ET,7.26,DAL
RB,Ito Smith,3100,TB@ATL 10/14/2018 01:00PM ET,6.94,ATL
WR,Ryan Switzer,3100,PIT@CIN 10/14/2018 01:00PM ET,5.08,PIT
WR,Andre Holmes,3100,BUF@HOU 10/14/2018 01:00PM ET,2.22,BUF
DST,Rams,3100,LAR@DEN 10/14/2018 04:05PM ET,10,LAR
RB,Ricky Ortiz,3000,TB@ATL 10/14/2018 01:00PM ET,0,ATL
RB,Brian Hill,3000,TB@ATL 10/14/2018 01:00PM ET,0,ATL
RB,Shaun Wilson,3000,TB@ATL 10/14/2018 01:00PM ET,1.47,TB
WR,Justin Hardy,3000,TB@ATL 10/14/2018 01:00PM ET,0.28,ATL
WR,Russell Gage,3000,TB@ATL 10/14/2018 01:00PM ET,0,ATL
WR,Marvin Hall,3000,TB@ATL 10/14/2018 01:00PM ET,2.28,ATL
WR,Justin Watson,3000,TB@ATL 10/14/2018 01:00PM ET,0,TB
RB,Kapri Bibbs,3000,CAR@WAS 10/14/2018 01:00PM ET,3.6,WAS
RB,Rob Kelley,3000,CAR@WAS 10/14/2018 01:00PM ET,0.4,WAS
RB,Byron Marshall,3000,CAR@WAS 10/14/2018 01:00PM ET,0,WAS
RB,Elijah Hood,3000,CAR@WAS 10/14/2018 01:00PM ET,0,CAR
RB,Cameron Artis-Payne,3000,CAR@WAS 10/14/2018 01:00PM ET,0,CAR
RB,Alex Armah,3000,CAR@WAS 10/14/2018 01:00PM ET,1.75,CAR
WR,Brian Quick,3000,CAR@WAS 10/14/2018 01:00PM ET,0.53,WAS
WR,Maurice Harris,3000,CAR@WAS 10/14/2018 01:00PM ET,3.85,WAS
WR,Damiere Byrd,3000,CAR@WAS 10/14/2018 01:00PM ET,0,CAR
TE,Vernon Davis,3000,CAR@WAS 10/14/2018 01:00PM ET,4.02,WAS
RB,Keith Smith,3000,SEA@OAK 10/14/2018 01:00PM ET,0.88,OAK
RB,DeAndre Washington,3000,SEA@OAK 10/14/2018 01:00PM ET,0,OAK
RB,Tre Madden,3000,SEA@OAK 10/14/2018 01:00PM ET,0.38,SEA
RB,J.D. McKissic,3000,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
RB,C.J. Prosise,3000,SEA@OAK 10/14/2018 01:00PM ET,1.73,SEA
WR,Brandon LaFell,3000,SEA@OAK 10/14/2018 01:00PM ET,0,OAK
WR,Dwayne Harris,3000,SEA@OAK 10/14/2018 01:00PM ET,0.75,OAK
WR,Keenan Reynolds,3000,SEA@OAK 10/14/2018 01:00PM ET,0,SEA
RB,Elijah McGuire,3000,IND@NYJ 10/14/2018 01:00PM ET,0,NYJ
RB,Trenton Cannon,3000,IND@NYJ 10/14/2018 01:00PM ET,0.62,NYJ
WR,Marcus Johnson,3000,IND@NYJ 10/14/2018 01:00PM ET,2.2,IND
WR,Matt Hazel,3000,IND@NYJ 10/14/2018 01:00PM ET,0,IND
WR,Charone Peake,3000,IND@NYJ 10/14/2018 01:00PM ET,0,NYJ
WR,ArDarius Stewart,3000,IND@NYJ 10/14/2018 01:00PM ET,0,NYJ
WR,Andre Roberts,3000,IND@NYJ 10/14/2018 01:00PM ET,1.52,NYJ
RB,Mike Boone,3000,ARI@MIN 10/14/2018 01:00PM ET,1.1,MIN
RB,Derrick Coleman,3000,ARI@MIN 10/14/2018 01:00PM ET,0.76,ARI
WR,Brandon Zylstra,3000,ARI@MIN 10/14/2018 01:00PM ET,0,MIN
WR,Trent Sherfield,3000,ARI@MIN 10/14/2018 01:00PM ET,0,ARI
WR,J.J. Nelson,3000,ARI@MIN 10/14/2018 01:00PM ET,0.28,ARI
WR,Chad Williams,3000,ARI@MIN 10/14/2018 01:00PM ET,3.06,ARI
RB,Thomas Rawls,3000,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
RB,Roosevelt Nix,3000,PIT@CIN 10/14/2018 01:00PM ET,0.58,PIT
RB,Jaylen Samuels,3000,PIT@CIN 10/14/2018 01:00PM ET,0,PIT
WR,Josh Malone,3000,PIT@CIN 10/14/2018 01:00PM ET,0.44,CIN
WR,Auden Tate,3000,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
WR,Cody Core,3000,PIT@CIN 10/14/2018 01:00PM ET,0,CIN
WR,Alex Erickson,3000,PIT@CIN 10/14/2018 01:00PM ET,1.6,CIN
WR,Justin Hunter,3000,PIT@CIN 10/14/2018 01:00PM ET,0.8,PIT
WR,Darrius Heyward-Bey,3000,PIT@CIN 10/14/2018 01:00PM ET,0,PIT
WR,Eli Rogers,3000,PIT@CIN 10/14/2018 01:00PM ET,0,PIT
TE,C.J. Uzomah,3000,PIT@CIN 10/14/2018 01:00PM ET,5.34,CIN
RB,Justin Jackson,3000,LAC@CLE 10/14/2018 01:00PM ET,0,LAC
RB,Derek Watt,3000,LAC@CLE 10/14/2018 01:00PM ET,0.02,LAC
WR,Rod Streater,3000,LAC@CLE 10/14/2018 01:00PM ET,-0.55,CLE
WR,Damion Ratley,3000,LAC@CLE 10/14/2018 01:00PM ET,0,CLE
WR,Geremy Davis,3000,LAC@CLE 10/14/2018 01:00PM ET,0,LAC
WR,Artavis Scott,3000,LAC@CLE 10/14/2018 01:00PM ET,0,LAC
WR,J.J. Jones,3000,LAC@CLE 10/14/2018 01:00PM ET,-0.33,LAC
RB,Patrick DiMarco,3000,BUF@HOU 10/14/2018 01:00PM ET,0.68,BUF
